abaissant
abaissante
abaissé
abaissée
abaissées
abaissés
abandonné
abandonnée
abandonnées
abandonnés
abandonnique
abasourdi
abasourdie
abasourdis
abasourdissant
abasourdissants
abâtardie
abattu
abattue
abattues
abattus
abbatial
abbatiale
abbatiales
abdominal
abdominale
abdominales
abdominaux
abducteur
aberrant
aberrante
aberrantes
aberrants
abêti
abêties
abêtis
abhorré
abhorrée
abject
abjecte
abjectes
abjects
abkhaze
aboli
abolie
abolies
abolis
abolitionniste
abolitionnistes
abominable
abominables
abondant
abondante
abondantes
abondants
abonné
abonnée
abonnés
abordable
abordables
abordé
abordées
abordés
aborigène
aborigènes
abortif
abortive
abortives
abouliques
abouti
aboutie
aboutis
aboyant
aboyante
aboyeur
aboyeurs
abracadabrant
abracadabrante
abracadabrantes
abracadabrants
abrasif
abrasifs
abrasive
abrégé
abrégée
abrégés
abreuvé
abreuvés
abréviatif
abricot
abritant
abrité
abritée
abrités
abrogé
abrupt
abrupte
abruptes
abrupts
abruti
abrutie
abruties
abrutis
abrutissant
abrutissante
abrutissantes
abrutissants
abscons
absconse
absconses
absent
absente
absentéiste
absentes
absents
absidiales
absolu
absolue
absolues
absolus
absolvant
absorbables
absorbant
absorbante
absorbantes
absorbants
absorbé
absorbée
absorbées
absorbés
absous
absoute
abstenue
abstinent
abstinente
abstrait
abstraite
abstraites
abstraits
abstrus
abstruse
abstruses
absurde
absurdes
abusé
abusée
abusées
abusés
abusif
abusifs
abusive
abusives
abyssal
abyssale
abyssales
abyssin
abyssinien
abyssins
académique
académiques
acadien
acajou
acariâtre
acariâtres
accablant
accablante
accablantes
accablants
accablé
accablée
accablées
accablés
accaparant
accaparante
accapareur
accélérant
accélérants
accélérateur
accélérateurs
accélératrice
accéléré
accélérés
accentué
accentuée
accentuées
accentués
acceptable
acceptables
accessible
accessibles
accessoire
accessoires
accidenté
accidentée
accidentées
accidentel
accidentelle
accidentelles
accidentels
accidentés
accolée
accolées
accolés
accommodant
accommodante
accommodantes
accommodants
accommodatrices
accompagnant
accompagné
accompagnée
accompagnées
accompagnés
accompli
accomplie
accomplies
accomplis
accore
accort
accorte
accortes
accorts
accostant
accouchant
accoudé
accoudée
accoudés
accoutré
accoutrée
accoutrés
accoutumé
accoutumée
accoutumées
accoutumés
accrédité
accréditée
accrédités
accro
accrochant
accroché
accrochée
accrochées
accrochés
accrocheur
accrocheurs
accrocheuse
accrocheuses
accros
accroupi
accroupie
accroupies
accroupis
accru
accrue
accrues
accrus
accueillant
accueillante
accueillantes
accueillants
acculé
acculés
accusateur
accusateurs
accusatoire
accusatrice
accusé
accusée
accusées
accusés
acellulaire
acéphale
acerbe
acerbes
acéré
acérée
acérées
acérés
acétique
acétylsalicylique
achalandé
achalandée
achalandées
achalandés
acharné
acharnée
acharnées
acharnés
achetable
achevé
achevée
achevées
achevés
acide
acides
acidulé
acidulée
acidulées
acidulés
acnéiques
acoustique
acoustiques
acquis
acquise
acquises
acquitté
acquittée
acquittés
âcre
âcres
acrimonieuse
acrimonieuses
acrimonieux
acrobatique
acrobatiques
acrocéphale
acrylique
acryliques
actif
actifs
activant
active
activé
activée
activées
actives
activés
activiste
activistes
actuariel
actuel
actuelle
actuelles
actuels
ad hoc
adamantin
adamantine
adamique
adaptable
adaptables
adaptatif
adaptatifs
additif
additifs
additionnel
additionnelle
additionnelles
additionnels
adéquat
adéquate
adéquates
adéquats
adhérent
adhérente
adhérentes
adhérents
adhésif
adhésifs
adhésive
adhésives
adipeuse
adipeuses
adipeux
adipique
adjacent
adjacente
adjacentes
adjacents
adjectif
adjective
adjoint
adjointe
adjoints
adjuvants
administrant
administratif
administratifs
administrative
administratives
administré
administrée
administrées
admirable
admirables
admirateur
admirateurs
admiratif
admiratifs
admirative
admiratives
admiratrice
admis
admise
admises
admissible
admissibles
adolescent
adolescente
adolescentes
adolescents
adoptable
adoptant
adopté
adoptée
adoptées
adoptés
adoptif
adoptifs
adoptive
adoptives
adorable
adorables
adorant
adorante
adorants
adossé
adossée
adossés
adouci
adoucis
adoucissant
adoucissantes
adragante
adriatique
adriatiques
adroit
adroite
adroites
adroits
adulateur
adulte
adultère
adultères
adultérin
adultérine
adultérins
adultes
adventices
adventiste
advenue
adverse
adverses
aéré
aérée
aérées
aérés
aérien
aérienne
aériennes
aériens
aérodynamique
aérodynamiques
aéromobile
aéronautique
aéronautiques
aéronaval
aéronavale
aéronavales
aéronavals
aéroporté
aéroportée
aéroportées
aéroportés
aérospatial
aérospatiale
affable
affables
affaibli
affaiblie
affaiblies
affaiblis
affaiblissant
affairé
affairée
affairées
affairés
affairiste
affamantes
affamé
affamée
affamées
affamés
affecté
affectée
affectées
affectés
affectif
affectifs
affectionné
affectionnée
affectionnés
affective
affectives
affectueuse
affectueuses
affectueux
afférent
afférente
afférentes
afférents
affétées
affichant
affidée
affilé
affilée
affilées
affilés
affilié
affiliée
affiliées
affiliés
affin
affiné
affinée
affirmatif
affirmatifs
affirmative
affixé
affleurant
affligé
affligeant
affligeante
affligeantes
affligeants
affligée
affligés
affluent
affluentes
affluents
affolant
affolante
affolantes
affolants
affolé
affolée
affolées
affolés
affranchi
affranchie
affranchies
affranchis
affreuse
affreuses
affreux
affriolant
affriolante
affriolantes
affriolants
affrontées
affrontés
affublé
affublée
affublés
afghan
afghane
afghanes
afghans
africain
africaine
africaines
africains
afrikaans
afro
afro-américain
afro-américaine
afro-américains
afro-asiatique
afro-brésilienne
afro-cubain
afro-cubaine
afro-cubains
agaçant
agaçante
agaçantes
agaçants
âgé
âgée
âgées
agenouillé
agenouillée
agenouillées
agenouillés
âgés
aggloméré
agglomérés
agglutinatif
aggravante
aggravantes
agile
agiles
agissant
agissante
agissantes
agitant
agité
agitée
agitées
agités
agnostique
agnostiques
agonique
agonisant
agonisante
agonisantes
agonisants
agoniste
agoraphobe
agraire
agraires
agrarien
agréable
agréables
agréé
agréée
agréés
agrégatif
agrégé
agrégés
agrémenté
agrémentée
agresseur
agresseurs
agressif
agressifs
agressive
agressives
agreste
agrestes
agricole
agricoles
agrippant
agrippants
agro-alimentaire
agroalimentaire
agronomique
aguerri
aguerrie
aguerries
aguerris
aguichant
aguichante
aguichantes
aguicheur
aguicheurs
aguicheuse
aguicheuses
ahanant
ahanante
ahuri
ahurie
ahuries
ahuris
ahurissant
ahurissante
ahurissantes
ahurissants
aigre
aigre-douce
aigre-doux
aigrelet
aigrelets
aigrelette
aigrelettes
aigres
aigres-douces
aigres-doux
aigrette
aigrettes
aigri
aigrie
aigries
aigris
aigu
aiguë
aiguës
aiguillonnante
aiguisé
aiguisée
aiguisées
aiguisés
aigus
ailé
ailée
ailées
ailés
aimable
aimables
aimant
aimante
aimantes
aimants
aimé
aimée
aimées
aimés
aîné
aînée
aînées
aînés
air-air
air-mer
air-sol
aise
aisé
aisée
aisées
aises
aisés
aixois
ajistes
ajouré
ajourée
ajourées
ajourés
ajourné
ajournée
ajournés
ajouté
ajoutée
ajoutées
ajoutés
ajustable
ajustables
ajusté
ajustée
ajustées
ajustés
akkadienne
alaire
alambiquée
alambiquées
alambiqués
alangui
alanguie
alanguies
alanguis
alanguissante
alarmant
alarmante
alarmantes
alarmants
alarmiste
alarmistes
albanais
albanaise
albanaises
albanophone
albâtre
albigeois
albinos
albumineuse
alcalin
alcaline
alcalines
alcalins
alchimique
alchimiques
alcoolique
alcooliques
alcoolisé
alcoolisée
alcoolisées
alcoolisés
alcoolo
alcoolos
aléatoire
aléatoires
alémaniques
alençonnais
alençonnaise
aléoutien
alerte
alerté
alertée
alertées
alertes
alertés
alexandrin
alexandrine
alexandrines
alexandrins
alezan
alezane
alezanes
alezans
algébrique
algébriques
algérien
algérienne
algériennes
algériens
algérois
algéroise
algonquin
algorithmique
aliénant
aliénante
aliéné
aliénée
aliénés
aligné
alignée
alignées
alignés
aligoté
alimentaire
alimentaires
alizé
alizés
allaitant
allaitante
allaitantes
allant
allante
alléchant
alléchante
alléchantes
alléchants
allégorique
allégoriques
allègre
allègres
allèle
allemand
allemande
allemandes
allemands
allergène
allergènes
allergique
allergiques
alliacé
allié
alliée
alliées
alliés
allitératif
allobroges
allocations
allogènes
allongé
allongée
allongées
allongés
allostérique
allumé
allumée
allumées
allumés
alluré
allusif
allusifs
allusive
allusives
alpestre
alpestres
alphabétique
